month,region,channel,orders,revenue,cost,returns
2026-01,North,Online,120,360000,241000,6
2026-01,South,Online,98,294000,201000,5
2026-01,North,Partner,74,236800,169000,4
2026-01,South,Partner,68,210800,153000,3
2026-02,North,Online,128,390400,258000,7
2026-02,South,Online,104,316160,213000,5
2026-02,North,Partner,79,252800,178000,4
2026-02,South,Partner,72,225360,159000,4
2026-03,North,Online,135,418500,273000,8
2026-03,South,Online,111,344100,227000,6
2026-03,North,Partner,82,266500,185000,5
2026-03,South,Partner,75,238500,166000,4
2026-04,North,Online,143,450450,289000,7
2026-04,South,Online,118,365800,238000,6
2026-04,North,Partner,88,286000,196000,5
2026-04,South,Partner,81,260820,180000,4
2026-05,North,Online,151,483200,307000,9
2026-05,South,Online,125,393750,254000,7
2026-05,North,Partner,93,306900,209000,5
2026-05,South,Partner,85,276250,191000,5
2026-06,North,Online,158,513500,326000,8
2026-06,South,Online,132,422400,271000,6
2026-06,North,Partner,97,324950,218000,6
2026-06,South,Partner,89,293700,202000,5
